,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
NULG,3d RSI NULG LT12 - L NULG,1.6 %,19.6 %,819,9856,21.6 %,9.2 %,7.6 %,214.2 %,0.0 %,-5.1 %,2,7,0.2,0.6,100.0 %,85.7 %,,5.2,409,1314,0.8 %,2.6 %,3,2.3,0,1,2,6,0,1,2,6,0,1,2,5,,6,2,6,,31.5,2.4,2.3,0,-302,0.0 %,-0.6 %,0,-302,0.0 %,-0.6 %,0,-302,0.0 %,-0.6 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,409,1584,0,-302,100.0 %,83.3 %
NULV,6d RSI NULV LT27 - L NULV,0.4 %,12.3 %,205,6227,100.0 %,8.0 %,0.4 %,155.7 %,0.0 %,-4.2 %,1,6,0.1,0.5,100.0 %,100.0 %,,,205,983,0.4 %,2.0 %,1,2.3,0,0,1,6,0,0,1,6,0,0,1,6,,,1,6,,,0,4.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,205,983,0,0,100.0 %,100.0 %
NYF,3d RSI NYF LT11 - L NYF,-0.4 %,0.5 %,-191,241,81.2 %,7.6 %,-0.5 %,6.3 %,-0.0 %,-1.3 %,2,5,0.2,0.4,0.0 %,80.0 %,0,0.5,-95,48,-0.2 %,0.1 %,5.5,2.8,2,1,0,3,2,1,0,3,1,1,0,2,0,4,0,4,0,1.8,-1.6,0.6,-381,-290,-0.4 %,-0.6 %,-381,-290,-0.4 %,-0.6 %,-381,-153,-0.4 %,-0.3 %,0.0 %,80.0 %,0.0 %,80.0 %,0.0 %,80.0 %,0,133,-95,-290,0.0 %,75.0 %
OEF,4d RSI OEF LT10 - L OEF,1.7 %,6.0 %,874,3006,100.0 %,7.6 %,1.7 %,79.1 %,0.0 %,-10.2 %,1,3,0.1,0.2,100.0 %,66.7 %,,1.3,874,1038,1.7 %,2.1 %,2,5.3,0,1,1,2,0,1,1,2,0,1,1,2,,2,1,2,,2.6,0,0.7,0,-1984,0.0 %,-4.0 %,0,-1984,0.0 %,-4.0 %,0,-1984,0.0 %,-4.0 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,874,2548,0,-1984,100.0 %,66.7 %
OUNZ,6d RSI OUNZ LT35 - L OUNZ,-0.1 %,15.5 %,-40,7828,32.5 %,7.6 %,-0.2 %,206.0 %,-9.1 %,-0.8 %,3,8,0.2,0.7,66.7 %,100.0 %,0.5,,-13,913,-0.0 %,1.8 %,3.3,1.4,1,0,1,8,1,0,1,8,1,0,1,7,2,,2,8,1,,0,5.4,-9697,0,-9.7 %,0.0 %,-6218,0,-6.2 %,0.0 %,-6218,0,-6.2 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,50.0 %,100.0 %,2404,913,-4849,0,50.0 %,100.0 %
PALL,20d RSI PALL LT43 - L PALL,-10.9 %,6.4 %,-5442,3226,100.0 %,6.8 %,-10.9 %,94.9 %,0.0 %,-2.9 %,1,3,0.1,0.2,0.0 %,100.0 %,0,,-5442,1047,-10.9 %,2.1 %,10,4.7,1,0,0,3,1,0,0,3,1,0,0,3,0,,0,3,0,,0,3.9,-10884,0,-10.9 %,0.0 %,-10884,0,-10.9 %,0.0 %,-10884,0,-10.9 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1047,-5442,0,0.0 %,100.0 %
PAVE,13d RSI PAVE LT31 - L PAVE,0.1 %,12.3 %,30,6220,100.0 %,5.2 %,0.1 %,239.2 %,0.0 %,-5.1 %,1,4,0.1,0.3,100.0 %,100.0 %,,,30,1492,0.1 %,3.0 %,6,2.2,0,0,1,4,0,0,1,4,0,0,1,3,,,1,4,,,0,2.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,30,1492,0,0,100.0 %,100.0 %
PCEF,6d RSI PCEF LT18 - L PCEF,1.4 %,7.2 %,710,3629,75.0 %,5.2 %,1.9 %,139.6 %,0.0 %,-5.6 %,2,3,0.2,0.2,50.0 %,100.0 %,14.8,,355,1177,0.7 %,2.4 %,2,3.3,1,0,1,3,1,0,1,3,0,0,1,3,1,,1,3,14.8,,1.2,3,-103,0,-0.1 %,0.0 %,-103,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,762,1177,-52,0,100.0 %,100.0 %
PCY,3d RSI PCY LT18 - L PCY,3.5 %,8.4 %,1772,4258,32.1 %,11.2 %,11.0 %,76.0 %,-0.3 %,-4.6 %,6,8,0.5,0.7,83.3 %,100.0 %,2.8,,295,510,0.6 %,1.0 %,2,2.5,1,0,3,8,1,0,3,8,0,0,2,7,5,,5,8,13.8,,2.2,7.7,-276,0,-0.3 %,0.0 %,-276,0,-0.3 %,0.0 %,0,0,0.0 %,0.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,382,510,-138,0,100.0 %,100.0 %
PEY,3d RSI PEY LT11 - L PEY,0.6 %,9.6 %,308,4833,100.0 %,8.8 %,0.6 %,109.8 %,0.0 %,-6.0 %,1,6,0.1,0.5,100.0 %,100.0 %,,,308,771,0.6 %,1.5 %,15,2.7,0,0,1,6,0,0,1,6,0,0,1,5,,,1,6,,,0,4.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,308,771,0,0,100.0 %,100.0 %
PFF,5d RSI PFF LT14 - L PFF,-0.2 %,2.1 %,-98,1046,100.0 %,6.0 %,-0.2 %,34.9 %,0.0 %,-4.3 %,1,4,0.1,0.3,0.0 %,75.0 %,0,1.6,-98,259,-0.2 %,0.5 %,8,2.8,1,1,0,2,1,1,0,2,1,1,0,2,0,3,0,3,0,4.9,0,1.6,-196,-264,-0.2 %,-0.5 %,-196,-264,-0.2 %,-0.5 %,-196,-264,-0.2 %,-0.5 %,0.0 %,75.0 %,0.0 %,75.0 %,0.0 %,75.0 %,0,433,-98,-264,0.0 %,75.0 %
PFFD,21d RSI PFFD LT35 - L PFFD,2.4 %,2.5 %,1196,1242,77.8 %,7.6 %,3.1 %,32.7 %,0.0 %,-4.5 %,2,5,0.2,0.4,100.0 %,80.0 %,,1.8,598,245,1.2 %,0.5 %,2.5,2.8,0,1,2,3,0,1,2,2,0,0,1,3,,4,2,4,,7.2,4.4,2.3,0,-199,0.0 %,-0.4 %,0,-199,0.0 %,-0.4 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,75.0 %,598,356,0,-199,100.0 %,100.0 %
PFXF,21d RSI PFXF LT38 - L PFXF,2.0 %,5.7 %,1007,2867,100.0 %,9.6 %,2.0 %,59.7 %,0.0 %,-6.1 %,1,8,0.1,0.7,100.0 %,75.0 %,,1.8,1007,349,2.0 %,0.7 %,3,2,0,1,1,4,0,1,1,3,0,0,1,4,,3,1,6,,5.3,0,2.2,0,-654,0.0 %,-1.3 %,0,-654,0.0 %,-1.3 %,0,0,0.0 %,0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,83.3 %,1007,574,0,-327,100.0 %,100.0 %
PGF,20d RSI PGF LT36 - L PGF,0.8 %,2.1 %,417,1079,100.0 %,8.8 %,0.8 %,24.5 %,0.0 %,-3.4 %,1,5,0.1,0.4,100.0 %,80.0 %,,,417,212,0.8 %,0.4 %,3,3.4,0,1,1,3,0,1,1,3,0,0,1,3,,4,1,4,,,0,3.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,417,266,0,0,100.0 %,100.0 %
PGX,21d RSI PGX LT35 - L PGX,0.7 %,3.7 %,365,1851,100.0 %,7.6 %,0.7 %,48.7 %,0.0 %,-3.0 %,1,5,0.1,0.4,100.0 %,60.0 %,,,365,363,0.7 %,0.7 %,3,2.8,0,2,1,2,0,2,1,2,0,0,1,3,,1.5,1,3,,,0,2.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,60.0 %,365,605,0,0,100.0 %,100.0 %
PHYS,5d RSI PHYS LT28 - L PHYS,-0.3 %,15.4 %,-156,7779,27.5 %,6.8 %,-1.1 %,228.8 %,-9.1 %,-0.1 %,3,7,0.2,0.6,66.7 %,100.0 %,0.5,,-52,1038,-0.1 %,2.1 %,2.7,1.4,1,0,1,7,1,0,1,7,1,0,1,6,2,,2,7,1,,0,6.2,-9644,0,-9.6 %,0.0 %,-6312,0,-6.3 %,0.0 %,-6312,0,-6.3 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,50.0 %,100.0 %,2333,1038,-4822,0,50.0 %,100.0 %
PICB,4d RSI PICB LT15 - L PICB,0.5 %,2.5 %,233,1236,50.0 %,5.6 %,0.9 %,44.1 %,0.0 %,-0.6 %,2,5,0.2,0.4,100.0 %,100.0 %,,,116,243,0.2 %,0.5 %,1.5,1.8,0,0,2,5,0,0,2,5,0,0,1,5,,,2,5,,,3.2,4.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,116,243,0,0,100.0 %,100.0 %
PICK,19d RSI PICK LT44 - L PICK,-0.2 %,16.7 %,-99,8411,100.0 %,12.0 %,-0.2 %,140.2 %,0.0 %,-12.0 %,2,10,0.2,0.8,50.0 %,90.0 %,0.9,0.7,-50,788,-0.1 %,1.6 %,3.5,2,1,1,1,7,1,0,0,8,1,0,0,4,1,9,1,9,0.9,6.1,-0.1,2.5,-2529,-1535,-2.5 %,-3.1 %,-198,0,-0.2 %,0.0 %,-198,0,-0.2 %,0.0 %,50.0 %,90.0 %,50.0 %,90.0 %,0.0 %,100.0 %,1165,1046,-1264,-1535,0.0 %,100.0 %
PPA,15d RSI PPA LT41 - L PPA,1.3 %,15.3 %,653,7690,100.0 %,10.0 %,1.3 %,153.8 %,0.0 %,-4.6 %,1,7,0.1,0.6,100.0 %,85.7 %,,1.4,653,1051,1.3 %,2.1 %,3,2.6,0,1,1,5,0,1,1,4,0,1,1,4,,6,1,6,,8.7,0,1.7,0,-957,0.0 %,-1.9 %,0,-957,0.0 %,-1.9 %,0,-957,0.0 %,-1.9 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,83.3 %,653,1385,0,-957,100.0 %,83.3 %
PPH,20d RSI PPH LT42 - L PPH,-1.6 %,15.3 %,-824,7712,100.0 %,16.0 %,-1.6 %,96.4 %,0.0 %,-7.4 %,1,9,0.1,0.8,0.0 %,77.8 %,0,5,-824,802,-1.6 %,1.6 %,8,3.4,1,1,0,6,1,1,0,7,1,0,0,5,0,3.5,0,7,0,17.7,0,3.5,-1648,-363,-1.6 %,-0.7 %,-1648,-71,-1.6 %,-0.1 %,-1648,0,-1.6 %,0.0 %,0.0 %,77.8 %,0.0 %,77.8 %,0.0 %,87.5 %,0,1093,-824,-217,0.0 %,100.0 %
PPLT,6d RSI PPLT LT36 - L PPLT,5.2 %,25.0 %,2604,12594,53.8 %,13.6 %,9.7 %,185.2 %,-4.8 %,-4.3 %,6,12,0.5,1,66.7 %,91.7 %,0.8,1.3,434,947,0.9 %,1.9 %,2.3,1.8,1,1,3,8,1,1,3,8,1,1,1,4,2,11,4,11,1.5,14.4,0.5,3.5,-5020,-849,-5.0 %,-1.7 %,-4564,-849,-4.6 %,-1.7 %,-147,-849,-0.1 %,-1.7 %,66.7 %,91.7 %,66.7 %,91.7 %,60.0 %,91.7 %,1849,1110,-2396,-849,50.0 %,85.7 %
PREF,17d RSI PREF LT44 - L PREF,0.0 %,1.6 %,0,779,100.0 %,6.4 %,0.0 %,24.4 %,-0.2 %,-1.4 %,2,4,0.2,0.3,50.0 %,75.0 %,1,4.8,0,192,0.0 %,0.4 %,4,3,1,1,1,2,1,0,1,3,0,0,1,2,1,3,1,3,1,14.5,0,2.2,-237,-57,-0.2 %,-0.1 %,-237,0,-0.2 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,100.0 %,119,276,-119,-57,100.0 %,100.0 %
PSI,4d RSI PSI LT19 - L PSI,4.2 %,31.5 %,2119,15873,100.0 %,8.4 %,4.2 %,377.9 %,0.0 %,-11.4 %,1,7,0.1,0.6,100.0 %,100.0 %,,,2119,2018,4.2 %,4.0 %,1,2,0,0,1,7,0,0,1,7,0,0,1,5,,,1,7,,,0,3.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,2119,2018,0,0,100.0 %,100.0 %
PSK,19d RSI PSK LT35 - L PSK,1.3 %,2.1 %,673,1063,77.8 %,6.4 %,1.7 %,33.2 %,0.0 %,-2.9 %,2,5,0.2,0.4,100.0 %,80.0 %,,2.5,337,209,0.7 %,0.4 %,2.5,2.2,0,1,2,2,0,0,2,4,0,0,1,3,,4,2,4,,9.8,5.8,2.5,0,-119,0.0 %,-0.2 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,100.0 %,337,292,0,-119,100.0 %,100.0 %
PSLV,17d RSI PSLV LT58 - L PSLV,2.3 %,51.3 %,1171,25834,100.0 %,48.0 %,2.3 %,107.6 %,-20.1 %,-8.4 %,10,39,0.8,3.3,60.0 %,82.0 %,0.7,1.1,117,540,0.2 %,1.1 %,3,2.1,2,2,3,16,2,2,4,12,1,1,1,8,1.5,4.6,6,32,1.1,4.9,0.1,4.1,-24478,-1773,-24.5 %,-3.5 %,-19612,-1270,-19.6 %,-2.5 %,-19612,-623,-19.6 %,-1.2 %,60.0 %,82.0 %,60.0 %,82.0 %,66.7 %,85.7 %,2416,825,-3331,-764,50.0 %,90.0 %
PWZ,3d RSI PWZ LT26 - L PWZ,-0.2 %,0.1 %,-80,57,42.0 %,32.4 %,-0.4 %,0.3 %,-0.6 %,-8.2 %,3,14,0.2,1.2,33.3 %,64.3 %,1.4,0.6,-27,7,-0.1 %,0.0 %,6,4.8,2,2,1,4,2,2,1,4,1,2,1,4,0.5,1.8,1,9,0.7,1,-0.2,0,-577,-1699,-0.6 %,-3.4 %,-577,-1699,-0.6 %,-3.4 %,-577,-1248,-0.6 %,-2.5 %,33.3 %,64.3 %,33.3 %,64.3 %,33.3 %,64.3 %,209,282,-144,-489,50.0 %,58.3 %
PXF,18d RSI PXF LT43 - L PXF,4.1 %,10.1 %,2059,5097,70.0 %,5.6 %,5.9 %,182.1 %,0.0 %,-4.1 %,2,5,0.2,0.4,100.0 %,100.0 %,,,1029,976,2.1 %,1.9 %,2.5,1.8,0,0,2,5,0,0,2,4,0,0,1,3,,,2,5,,,3.4,3.7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1029,976,0,0,100.0 %,100.0 %
PXH,11d RSI PXH LT36 - L PXH,4.3 %,10.3 %,2145,5176,61.5 %,7.2 %,7.0 %,143.8 %,0.0 %,-7.7 %,3,6,0.2,0.5,100.0 %,83.3 %,,19.4,715,825,1.4 %,1.6 %,1.7,2,0,1,3,4,0,0,3,5,0,0,1,5,,5,3,5,,97,6.9,3.1,0,-52,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,100.0 %,715,1001,0,-52,100.0 %,100.0 %
QLTA,5d RSI QLTA LT23 - L QLTA,0.3 %,3.3 %,135,1683,88.9 %,7.2 %,0.3 %,46.8 %,0.0 %,-1.2 %,2,6,0.2,0.5,100.0 %,83.3 %,,6.5,68,275,0.1 %,0.6 %,3,2,0,1,2,4,0,0,2,5,0,0,1,4,,5,2,5,,32.4,3.7,3.1,0,-53,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,100.0 %,68,340,0,-53,100.0 %,100.0 %
QQQ,7d RSI QQQ LT25 - L QQQ,2.1 %,12.2 %,1057,6176,100.0 %,8.8 %,2.1 %,140.4 %,0.0 %,-10.1 %,1,4,0.1,0.3,100.0 %,75.0 %,,1.3,1057,1529,2.1 %,3.1 %,1,4.5,0,1,1,3,0,1,1,3,0,1,1,3,,3,1,3,,4,0,1.2,0,-2060,0.0 %,-4.1 %,0,-2060,0.0 %,-4.1 %,0,-2060,0.0 %,-4.1 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,1057,2725,0,-2060,100.0 %,75.0 %
QQXT,3d RSI QQXT LT10 - L QQXT,0.9 %,11.3 %,432,5708,100.0 %,6.4 %,0.9 %,178.4 %,0.0 %,-4.1 %,1,6,0.1,0.5,100.0 %,100.0 %,,,432,908,0.9 %,1.8 %,2,1.7,0,0,1,6,0,0,1,6,0,0,1,6,,,1,6,,,0,2.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,432,908,0,0,100.0 %,100.0 %
RDVY,4d RSI RDVY LT17 - L RDVY,1.5 %,15.8 %,747,7985,100.0 %,8.0 %,1.5 %,199.6 %,0.0 %,-4.6 %,1,6,0.1,0.5,100.0 %,100.0 %,,,747,1248,1.5 %,2.5 %,3,2.3,0,0,1,6,0,0,1,6,0,0,1,5,,,1,6,,,0,3.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,747,1248,0,0,100.0 %,100.0 %
REM,20d RSI REM LT39 - L REM,0.2 %,1.1 %,77,542,92.3 %,6.0 %,0.2 %,18.1 %,0.0 %,-11.5 %,2,4,0.2,0.3,50.0 %,75.0 %,1.1,0.4,39,160,0.1 %,0.3 %,5,2.8,1,1,1,2,1,1,1,1,0,1,1,1,1,3,1,3,1.1,1.3,0.1,0.2,-1672,-2429,-1.7 %,-4.9 %,-1672,-2125,-1.7 %,-4.2 %,0,-286,0.0 %,-0.6 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,66.7 %,913,1022,-836,-2429,100.0 %,50.0 %
RING,3d RSI RING LT26 - L RING,0.8 %,66.4 %,397,33452,53.8 %,16.4 %,1.5 %,407.9 %,-13.1 %,-4.1 %,4,15,0.3,1.3,50.0 %,93.3 %,1.1,14.4,99,1736,0.2 %,3.5 %,4.2,1.7,2,1,2,9,2,1,2,9,1,0,1,10,1,14,2,14,1.1,202,0,6.6,-15136,-130,-15.1 %,-0.3 %,-15136,-130,-15.1 %,-0.3 %,-15136,0,-15.1 %,0.0 %,50.0 %,93.3 %,50.0 %,93.3 %,50.0 %,93.3 %,3983,1869,-3784,-130,50.0 %,100.0 %
ROBO,4d RSI ROBO LT10 - L ROBO,2.7 %,14.0 %,1367,7056,100.0 %,5.2 %,2.7 %,271.4 %,0.0 %,-5.0 %,1,4,0.1,0.3,100.0 %,100.0 %,,,1367,1675,2.7 %,3.4 %,2,2.2,0,0,1,4,0,0,1,4,0,0,1,3,,,1,4,,,0,3.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1367,1675,0,0,100.0 %,100.0 %
RPG,3d RSI RPG LT16 - L RPG,5.3 %,22.4 %,2645,11269,20.0 %,12.8 %,26.4 %,176.1 %,0.0 %,-5.2 %,2,8,0.2,0.7,100.0 %,87.5 %,,42.4,1322,1305,2.6 %,2.6 %,1,2.9,0,1,2,7,0,1,2,7,0,1,2,5,,7,2,7,,296.5,3.3,2.1,0,-35,0.0 %,-0.1 %,0,-35,0.0 %,-0.1 %,0,-35,0.0 %,-0.1 %,100.0 %,87.5 %,100.0 %,87.5 %,100.0 %,87.5 %,1322,1497,0,-35,100.0 %,83.3 %
RPV,12d RSI RPV LT38 - L RPV,0.8 %,20.7 %,422,10433,100.0 %,10.0 %,0.8 %,208.7 %,0.0 %,-4.3 %,2,8,0.2,0.7,100.0 %,100.0 %,,,211,1192,0.4 %,2.4 %,4.5,2.1,0,0,2,8,0,0,2,8,0,0,1,6,,,2,8,,,3.3,6.7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,211,1192,0,0,100.0 %,100.0 %
RSPN,3d RSI RSPN LT14 - L RSPN,-4.0 %,16.6 %,-1995,8355,100.0 %,14.4 %,-4.0 %,116.0 %,-2.8 %,-4.6 %,2,8,0.2,0.7,0.0 %,87.5 %,0,2.9,-997,978,-2.0 %,2.0 %,6.5,3.4,2,1,0,7,2,1,0,7,1,0,0,6,0,7,0,7,0,20.1,-3.6,2.7,-3990,-410,-4.0 %,-0.8 %,-3990,-410,-4.0 %,-0.8 %,-3990,0,-4.0 %,0.0 %,0.0 %,87.5 %,0.0 %,87.5 %,0.0 %,87.5 %,0,1176,-997,-410,0.0 %,100.0 %
RSPS,7d RSI RSPS LT20 - L RSPS,-2.2 %,0.9 %,-1083,434,100.0 %,5.2 %,-2.2 %,16.7 %,0.0 %,-1.9 %,1,2,0.1,0.2,0.0 %,50.0 %,0,4.5,-1083,216,-2.2 %,0.4 %,11,5.5,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,4.5,0,0.9,-2167,-123,-2.2 %,-0.2 %,-2167,-123,-2.2 %,-0.2 %,-2167,-123,-2.2 %,-0.2 %,0.0 %,50.0 %,0.0 %,50.0 %,0.0 %,50.0 %,0,555,-1083,-123,0.0 %,50.0 %
RWM,4d RSI RWM LT15 - L RWM,-0.3 %,7.3 %,-163,3686,100.0 %,8.0 %,-0.3 %,92.2 %,0.0 %,-0.9 %,1,6,0.1,0.5,0.0 %,100.0 %,0,,-163,593,-0.3 %,1.2 %,5,2.3,1,0,0,6,1,0,0,6,1,0,0,6,0,,0,6,0,,0,4.2,-325,0,-0.3 %,0.0 %,-325,0,-0.3 %,0.0 %,-325,0,-0.3 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,593,-163,0,0.0 %,100.0 %
SCHC,4d RSI SCHC LT16 - L SCHC,-4.9 %,8.9 %,-2438,4481,100.0 %,5.6 %,-4.9 %,160.0 %,0.0 %,-7.0 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-2438,1083,-4.9 %,2.2 %,16,2.5,1,0,0,4,1,0,0,4,1,0,0,3,0,,0,4,0,,0,2.6,-4876,0,-4.9 %,0.0 %,-4876,0,-4.9 %,0.0 %,-4876,0,-4.9 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1083,-2438,0,0.0 %,100.0 %
SCHE,3d RSI SCHE LT13 - L SCHE,3.3 %,10.4 %,1649,5232,26.7 %,10.4 %,12.4 %,100.6 %,0.0 %,-6.1 %,2,7,0.2,0.6,100.0 %,85.7 %,,2.5,825,716,1.6 %,1.4 %,1,2.7,0,1,2,5,0,1,2,5,0,1,1,5,,6,2,6,,15.1,3.1,2.5,0,-355,0.0 %,-0.7 %,0,-355,0.0 %,-0.7 %,0,-355,0.0 %,-0.7 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,825,895,0,-355,100.0 %,85.7 %
SCHF,20d RSI SCHF LT42 - L SCHF,0.9 %,10.7 %,462,5389,80.0 %,5.6 %,1.2 %,192.5 %,-0.1 %,-3.8 %,2,5,0.2,0.4,50.0 %,100.0 %,8.6,,231,1032,0.5 %,2.1 %,3,1.8,1,0,1,5,1,0,1,4,0,0,1,3,1,,1,5,8.6,,1.1,3.1,-121,0,-0.1 %,0.0 %,-121,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,523,1032,-61,0,100.0 %,100.0 %
SCHG,5d RSI SCHG LT12 - L SCHG,4.0 %,6.4 %,2003,3204,35.7 %,5.6 %,11.2 %,114.4 %,0.0 %,-9.1 %,2,2,0.2,0.2,100.0 %,50.0 %,,2.5,1002,1725,2.0 %,3.5 %,1.5,6,0,1,2,1,0,1,2,1,0,1,2,1,,1,2,1,,2.5,21.2,0.6,0,-2343,0.0 %,-4.7 %,0,-2343,0.0 %,-4.7 %,0,-2343,0.0 %,-4.7 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,1002,5794,0,-2343,100.0 %,50.0 %
SCHO,3d RSI SCHO LT27 - L SCHO,0.0 %,1.7 %,21,879,78.9 %,14.4 %,0.1 %,12.2 %,-0.2 %,-0.1 %,3,12,0.2,1,33.3 %,100.0 %,2.3,,7,72,0.0 %,0.1 %,4,2,2,0,1,12,2,0,1,12,0,0,1,8,0.5,,1,12,1.1,,0.1,7.9,-288,0,-0.3 %,0.0 %,-288,0,-0.3 %,0.0 %,0,0,0.0 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,165,72,-72,0,100.0 %,100.0 %
